"filename", "language", "Python", "pip requirements", "Cython", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ORM.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicFunctions.py", "Python", 0, 0, 0, 0, 0, 0, 10, 2, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicService.py", "Python", -31, 0, 0, 0, 0, 0, 0, -3, -34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicValuesAndSchemas.py", "Python", -16, 0, 0, 0, 0, 0, 0, 0, -16
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCoursePlan.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCurricula.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaDepartment.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaEquipment.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocation.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocationExtension.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmx.py", "Python", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmxData.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaRunningAccount.py", "Python", 2, 0, 0, 0, 0, 0, 1, 0, 3
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTableInformation.py", "Python", 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTypera.py", "Python", 1, 0, 0, 0, 0, 0, 0, -1, 0
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUser.py", "Python", 2, 0, 0, 0, 0, 0, 1, 0, 3
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUserExtension.py", "Python", 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCoursePlan.py", "Python", 15, 0, 0, 0, 0, 0, 34, 4, 53
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCurricula.py", "Python", -6, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceRunningAccount.py", "Python", 182, 0, 0, 0, 0, 0, 8, 16, 206
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceUser.py", "Python", 5, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\Test.pyx", "Cython", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, -1, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Test.py", "Python", 83, 0, 0, 0, 0, 0, 18, 8, 109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\requirements.txt", "pip requirements", 0, -16, 0, 0, 0, 0, 0, 0, -16
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\test.py", "Python", 11, 0, 0, 0, 0, 0, 11, 1, 23
"Total", "-", 257, -62, 0, 89, 83, 0, 99, 51, 517
