"filename", "language", "Markdown", "YAML", "Python", "Ini", "pip requirements", "HTML", "Properties", "Docker", "Cython", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-16_20-58-06\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-16_20-58-06\results.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\details.md", "Markdown", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 131
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\diff-details.md", "Markdown", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 75
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\diff.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 118
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-02-18_12-47-30\results.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic.ini", "Ini", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 23, 103
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\docker-compose.yml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\nginx\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\nginx\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 65, 16, 127
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\nginx\static\505.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\requirements.txt", "pip requirements", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiBase.py", "Python", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 21, 15, 81
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiCoursePlan.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 88
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiCurricula.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 87
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiDepartment.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiEquipment.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiLocation.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiRunningAccount.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 100
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiUser.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 96
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiUserExtension.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 95
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Depends.py", "Python", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 35, 19, 119
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Login.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 40
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Middleware.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 30
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Components\Exceptions.py", "Python", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 64
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\Settings.py", "Python", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 103
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 14
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\gunicorn_config.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 166, 26, 243
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Config\logger_config.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 48, 16, 135
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 7, 6, 21
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Logs\test.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 19
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 76
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 71
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 59
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 22
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocationExtension.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 49
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 24
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmxData.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 20
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 53
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelSqlAlchemySession.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 24
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 54
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\UserGroup.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 50
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\MiddleWare.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ORM.py", "Python", 0, 0, 410, 0, 0, 0, 0, 0, 0, 0, 0, 167, 38, 615
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicFunctions.py", "Python", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 36, 11, 134
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicService.py", "Python", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 36, 11, 128
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicValuesAndSchemas.py", "Python", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 130
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCoursePlan.py", "Python", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32, 174
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCurricula.py", "Python", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 158
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaDepartment.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 112
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaEquipment.py", "Python", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocation.py", "Python", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 110
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocationExtension.py", "Python", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 154
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmx.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 118
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmxData.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 112
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaRunningAccount.py", "Python", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32, 155
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaSqlAlchemySession.py", "Python", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 98
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTableInformation.py", "Python", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 119
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTypera.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUser.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 12, 26, 110
