"filename", "language", "Ini", "pip requirements", "Python", "Markdown", "CSV", "Django txt", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\Settings.py", "Python", 0, 0, 16, 0, 0, 0, 0, 13, 4, 33
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelCoursePlan.py", "Python", 0, 0, 66, 0, 0, 0, 0, 12, 4, 82
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelCurricula.py", "Python", 0, 0, 66, 0, 0, 0, 0, 12, 4, 82
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelDepartment.py", "Python", 0, 0, 18, 0, 0, 0, 0, 12, 5, 35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelEquipment.py", "Python", 0, 0, 50, 0, 0, 0, 0, 12, 4, 66
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelLocation.py", "Python", 0, 0, 47, 0, 0, 0, 0, 12, 7, 66
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelMmx.py", "Python", 0, 0, 21, 0, 0, 0, 0, 12, 7, 40
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelPublic.py", "Python", 0, 0, 114, 0, 0, 0, 0, 12, 14, 140
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelRunningAccount.py", "Python", 0, 0, 40, 0, 0, 0, 0, 12, 4, 56
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelTableInformation.py", "Python", 0, 0, 18, 0, 0, 0, 0, 12, 4, 34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelTypera.py", "Python", 0, 0, 18, 0, 0, 0, 0, 12, 4, 34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelUser.py", "Python", 0, 0, 68, 0, 0, 0, 0, 12, 25, 105
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ORM.py", "Python", 0, 0, 439, 0, 0, 0, 0, 166, 35, 640
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\Session.py", "Python", 0, 0, 19, 0, 0, 0, 0, 12, 3, 34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\Test.py", "Python", 0, 0, 9, 0, 0, 0, 0, 12, 2, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\__init__.py", "Python", 0, 0, 14, 0, 0, 0, 0, 12, 2, 28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Service\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Service\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 12, 1, 16
"Total", "-", 80, 68, 2558, 696, 555, 688, 2, 521, 304, 5472
