"filename", "language", "Python", "Markdown", "CSV", "Django txt", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\test_20220114010045.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.history\test_20220114011047.py", "Python", -2, 0, 0, 0, 0, 0, -12, -1, -15
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\90c8fcbf3638_init.py", "Python", 658, 0, 0, 0, 0, 0, 12, 7, 677
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\9e02df0b02ea_update.py", "Python", 12, 0, 0, 0, 0, 0, 12, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\BackUp\Mysql\dc50e1f2513e_init.py", "Python", 661, 0, 0, 0, 0, 0, 12, 7, 680
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\dc50e1f2513e_init.py", "Python", -661, 0, 0, 0, 0, 0, -12, -7, -680
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\test.py", "Python", -2, 0, 0, 0, 0, 0, 0, 5, 3
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelCurricula.py", "Python", 1, 0, 0, 0, 0, 0, 0, -1, 0
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelPublic.py", "Python", 114, 0, 0, 0, 0, 0, 12, 14, 140
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ModelUser.py", "Python", -1, 0, 0, 0, 0, 0, 0, 1, 0
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\ORM.py", "Python", 439, 0, 0, 0, 0, 0, 166, 35, 640
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\Public.py", "Python", -351, 0, 0, 0, 0, 0, -23, -52, -426
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\Test.py", "Python", 9, 0, 0, 0, 0, 0, 12, 2, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Model\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Service\Test.py", "Python", 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\test.py", "Python", -2, 0, 0, 0, 0, 0, -12, -1, -15
"Total", "-", -8887, 413, 331, 409, 1, -157, -2436, -1692, -12018
