"filename", "language", "Python", "Django txt", "pip requirements", "Ini", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.csv", "CSV", 0, 0, 0, 0, 0, 28, 0, 0, 0, 28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.txt", "Django txt", 0, 57, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.csv", "CSV", 0, 0, 0, 0, 0, 80, 0, 0, 0, 80
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.md", "Markdown", 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.txt", "Django txt", 0, 122, 0, 0, 0, 0, 0, 0, 3, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\details.md", "Markdown", 0, 0, 0, 0, 96, 0, 0, 0, 6, 102
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff-details.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 6, 34
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff.csv", "CSV", 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\diff.txt", "Django txt", 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.csv", "CSV", 0, 0, 0, 0, 0, 89, 0, 0, 0, 89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-27_00-12-17\results.txt", "Django txt", 0, 132, 0, 0, 0, 0, 0, 0, 3, 135
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test.py", "Python", 58, 0, 0, 0, 0, 0, 0, 18, 2, 78
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test.txt", "Django txt", 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test\Public.py", "Python", 10, 0, 0, 0, 0, 0, 0, 11, 2, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic.ini", "Ini", 0, 0, 0, 80, 0, 0, 0, 0, 23, 103
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\env.py", "Python", 38, 0, 0, 0, 0, 0, 0, 41, 15, 94
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\90c8fcbf3638_init.py", "Python", 658, 0, 0, 0, 0, 0, 0, 12, 7, 677
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\9e02df0b02ea_update.py", "Python", 12, 0, 0, 0, 0, 0, 0, 12, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\BackUp\Mysql\dc50e1f2513e_init.py", "Python", 661, 0, 0, 0, 0, 0, 0, 12, 7, 680
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\main.py", "Python", 6, 0, 0, 0, 0, 0, 0, 12, 2, 20
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\requirements.txt", "pip requirements", 0, 0, 85, 0, 0, 0, 0, 0, 1, 86
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 12, 2, 17
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\crud.py", "Python", 62, 0, 0, 0, 0, 0, 0, 2, 10, 74
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\database.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\models.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\run.py", "Python", 58, 0, 0, 0, 0, 0, 0, 12, 15, 85
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\schema.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\test.py", "Python", 13, 0, 0, 0, 0, 0, 0, 12, 7, 32
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\Settings.py", "Python", 16, 0, 0, 0, 0, 0, 0, 13, 10, 39
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 177, 0, 0, 0, 0, 0, 0, 13, 35, 225
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 162, 0, 0, 0, 0, 0, 0, 12, 35, 209
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 76, 0, 0, 0, 0, 0, 0, 12, 30, 118
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 128, 0, 0, 0, 0, 0, 0, 12, 31, 171
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 75, 0, 0, 0, 0, 0, 0, 12, 34, 121
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocationExtension.py", "Python", 136, 0, 0, 0, 0, 0, 0, 11, 32, 179
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 83, 0, 0, 0, 0, 0, 0, 13, 31, 127
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmxData.py", "Python", 75, 0, 0, 0, 0, 0, 0, 11, 32, 118
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 130, 0, 0, 0, 0, 0, 0, 12, 38, 180
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelSqlAlchemySession.py", "Python", 68, 0, 0, 0, 0, 0, 0, 12, 27, 107
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 82, 0, 0, 0, 0, 0, 0, 12, 31, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 74, 0, 0, 0, 0, 0, 0, 12, 31, 117
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 108, 0, 0, 0, 0, 0, 0, 13, 31, 152
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", 85, 0, 0, 0, 0, 0, 0, 11, 29, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", 409, 0, 0, 0, 0, 0, 0, 167, 38, 614
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", 128, 0, 0, 0, 0, 0, 0, 27, 15, 170
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValuesAndSchemas.py", "Python", 93, 0, 0, 0, 0, 0, 0, 14, 21, 128
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Test.py", "Python", 25, 0, 0, 0, 0, 0, 0, 12, 9, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\UserGroup.py", "Python", 42, 0, 0, 0, 0, 0, 0, 11, 17, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 220, 0, 0, 0, 0, 0, 0, 12, 3, 235
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tasks\__init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"Total", "-", 3998, 1397, 85, 80, 1371, 977, 5, 648, 845, 9406
