"filename", "language", "Python", "JSON", "Markdown", "CSV", "Django txt", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", 85, 0, 0, 0, 0, 11, 29, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserGroup.py", "Python", -42, 0, 0, 0, 0, -11, -17, -70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", -50, 0, 0, 0, 0, 0, -11, -61
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", 128, 0, 0, 0, 0, 27, 15, 170
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValues.py", "Python", -3, 0, 0, 0, 0, -11, -1, -15
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValuesAndSchemas.py", "Python", 93, 0, 0, 0, 0, 14, 21, 128
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Session.py", "Python", -76, 0, 0, 0, 0, -12, -24, -112
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\UserGroup.py", "Python", 42, 0, 0, 0, 0, 11, 17, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 207, 0, 0, 0, 0, 0, 2, 209
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\__init__.py", "Python", -3, 0, 0, 0, 0, -12, -1, -16
"Total", "-", 306, 0, -99, -114, -99, 31, 55, 80
