"filename", "language", "Ini", "JSON", "Markdown", "Django txt", "CSV", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 0, 0, 0, 0, 0, 149, 0, 12, 42, 203
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserGroup.py", "Python", 0, 0, 0, 0, 0, 42, 0, 11, 17, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", 0, 0, 0, 0, 0, 459, 0, 167, 49, 675
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValues.py", "Python", 0, 0, 0, 0, 0, 3, 0, 11, 1, 15
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Session.py", "Python", 0, 0, 0, 0, 0, 76, 0, 12, 24, 112
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Test.py", "Python", 0, 0, 0, 0, 0, 25, 0, 12, 9, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 0, 0, 0, 0, 0, 13, 0, 12, 1, 26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tasks\__init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\__init__.py", "Python", 0, 0, 0, 0, 0, 3, 0, 12, 1, 16
"Total", "-", 80, 4, 1287, 1317, 983, 3413, 85, 615, 684, 8468
