"filename", "language", "Markdown", "Python", "Properties", "HTML", "pip requirements", "Docker", "Ini", "YAML", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 44
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelSqlAlchemySession.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 22
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 25
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 56
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\UserGroup.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 50
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\MiddleWare.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ORM.py", "Python", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 167, 38, 613
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicFunctions.py", "Python", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 122
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicService.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 162
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicValuesAndSchemas.py", "Python", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 146
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCoursePlan.py", "Python", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 12, 32, 169
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCurricula.py", "Python", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 154
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaDepartment.py", "Python", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 111
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaEquipment.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 123
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocation.py", "Python", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocationExtension.py", "Python", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 152
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmx.py", "Python", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 110
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmxData.py", "Python", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 111
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaRunningAccount.py", "Python", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 152
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaSqlAlchemySession.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 98
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTableInformation.py", "Python", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 106
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTypera.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUser.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 107
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUserExtension.py", "Python", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 100
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCurricula.py", "Python", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5, 132
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceDepartment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceEquipment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceLocation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceLocationExtension.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceMmx.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceMmxData.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceRunningAccount.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceTableInformation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceTypera.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceUser.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 244
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tasks\__init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\main.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\requirements.txt", "pip requirements", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\整体技术框架设计.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 84
"Total", "-", 1268, 3636, 46, 0, 144, 14, 80, 29, 800, 5, 1347, 960, 8329
