"filename", "language", "Python", "pip requirements", "YAML", "HTML", "Properties", "Docker", "Markdown", "CSV", "JSON", "Django txt", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -1, -12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\env.py", "Python", -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -15, -94
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\90c8fcbf3638_init.py", "Python", -658, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -7, -677
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\9e02df0b02ea_update.py", "Python", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -7, -31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\BackUp\Mysql\dc50e1f2513e_init.py", "Python", -661, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -7, -680
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\docker-compose.yml", "YAML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\main.py", "Python", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -2, -20
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\nginx\Dockerfile", "Docker", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\nginx\nginx.conf", "Properties", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 65, 16, 127
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\nginx\static\505.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\ApiBase.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\Depends.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
